"u,N,18,0","v,N,18,0","key,N,18,0","osmid,C,80","oneway,N,9,0","lanes,C,80","name,C,80","highway,C,80","maxspeed,C,80","length,N,24,15","from,N,18,0","to,N,18,0","ref,C,80","bridge,C,80","tunnel,C,80","junction,C,80","access,C,80"
316069851,1273976491,0,654283714,1,2,Avenida Paseo la Castellana,secondary,60,15.073,316069851,1273976491,,,,,
316069851,1273716886,0,343114912,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,68.221,316069851,1273716886,,,,,
390685341,390684678,0,34089866,0,2,Jir??n Torremolinos,residential,,68.826,390684678,390685341,,,,,
316069719,386138111,0,513658406,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,194.564,316069719,386138111,,,,,
316069719,387444909,0,33820651,1,2,Jir??n Lauricocha,residential,,78.989,387444909,316069719,,,,,
316069719,4343731020,0,513658406,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,5.54,4343731020,316069719,,,,,
386138111,386136181,0,513658406,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,16.527,386138111,386136181,,,,,
386138111,386137832,0,430610771,1,3,Avenida La Merced,secondary,60,75.598,386138111,386137832,,,,,
386138111,386138237,0,430610771,1,3,Avenida La Merced,secondary,60,14.637,386138237,386138111,,,,,
316069729,390682444,0,892990306,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,15.475,316069729,390682444,,,,,
316069729,390682441,0,513702229,1,2,Avenida Los Vicus,secondary,40,118.791,316069729,390682441,,,,,
316069729,390682443,0,513702229,1,2,Avenida Los Vicus,secondary,40,12.858,390682443,316069729,,,,,
316069729,390685716,0,320742861,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,70.536,390685716,316069729,,,,,
390682444,390682442,0,892990303,1,2,Avenida Los Vicus,secondary,40,12.869,390682444,390682442,,,,,
390682444,4053978695,0,892990305,1,2,Avenida Mariscal Ram??n Castilla,secondary,60,40.006,390682444,4053978695,,,,,
390682444,390683407,0,892990304,1,2,Avenida Los Vicus,secondary,40,101.191,390683407,390682444,,,,,
390682441,390686310,0,315412331,0,,La Carabela,residential,,62.658,390686310,390682441,,,,,
390682441,390682439,0,513702229,1,2,Avenida Los Vicus,secondary,40,75.999,390682441,390682439,,,,,
3247349768,1839084443,0,316901487,1,2,Avenida Ayacucho,secondary,50,38.777,3247349768,1839084443,,,,,
